"Scale","Item","Countries_helped","Total_countries","Proportion_helped","Avg_improvement","Recommendation","Countries_not_helped","Problem_description"
"MFQ_Purity","MFQ_30",0,4,0,-0.04175,"KEEP",4,"Alpha <0.60 in 4 countries, helps 0 (0%)"
"MFQ_Purity","MFQ_36",0,4,0,-0.0475,"KEEP",4,"Alpha <0.60 in 4 countries, helps 0 (0%)"
"MFQ_Purity","MFQ_6",0,4,0,-0.0055,"KEEP",4,"Alpha <0.60 in 4 countries, helps 0 (0%)"
"Penal_Code_Violence","violence_1",0,3,0,-0.211,"KEEP",3,"Alpha <0.60 in 3 countries, helps 0 (0%)"
"Penal_Code_Violence","violence_2",0,3,0,0.0206666666666667,"KEEP",3,"Alpha <0.60 in 3 countries, helps 0 (0%)"
"Penal_Code_Violence","violence_3",0,3,0,-0.134,"KEEP",3,"Alpha <0.60 in 3 countries, helps 0 (0%)"
"Positive_Reciprocity","Reciprocity_1",0,1,0,0.035,"KEEP",1,"Alpha <0.60 in 1 countries, helps 0 (0%)"
"Positive_Reciprocity","Reciprocity_2",0,1,0,-0.198,"KEEP",1,"Alpha <0.60 in 1 countries, helps 0 (0%)"
"Positive_Reciprocity","Reciprocity_3",0,1,0,-0.16,"KEEP",1,"Alpha <0.60 in 1 countries, helps 0 (0%)"
"Power","values_17",0,59,0,-0.158728813559322,"KEEP",59,"Alpha <0.60 in 59 countries, helps 0 (0%)"
"Power","values_2",0,59,0,-0.158728813559322,"KEEP",59,"Alpha <0.60 in 59 countries, helps 0 (0%)"
"Retaliation","insult1_2",0,16,0,-0.2530625,"KEEP",16,"Alpha <0.60 in 16 countries, helps 0 (0%)"
"Retaliation","insult2_2",0,16,0,-0.1916875,"KEEP",16,"Alpha <0.60 in 16 countries, helps 0 (0%)"
"Retaliation","insult3_2",7,16,0.438,0.09025,"KEEP",9,"Alpha <0.60 in 16 countries, helps 7 (43.8%)"
"Security","values_14",0,53,0,-0.160943396226415,"KEEP",53,"Alpha <0.60 in 53 countries, helps 0 (0%)"
"Security","values_5",0,53,0,-0.160943396226415,"KEEP",53,"Alpha <0.60 in 53 countries, helps 0 (0%)"
"Self_Direction","values_1",0,59,0,-0.157152542372881,"KEEP",59,"Alpha <0.60 in 59 countries, helps 0 (0%)"
"Self_Direction","values_11",0,59,0,-0.157152542372881,"KEEP",59,"Alpha <0.60 in 59 countries, helps 0 (0%)"
"Self_Enhancement","values_13",0,3,0,-0.156,"KEEP",3,"Alpha <0.60 in 3 countries, helps 0 (0%)"
"Self_Enhancement","values_17",0,3,0,-0.036,"KEEP",3,"Alpha <0.60 in 3 countries, helps 0 (0%)"
"Self_Enhancement","values_2",0,3,0,0.003,"KEEP",3,"Alpha <0.60 in 3 countries, helps 0 (0%)"
"Self_Enhancement","values_4",0,3,0,-0.122,"KEEP",3,"Alpha <0.60 in 3 countries, helps 0 (0%)"
"Self_Face_Concern","conflict_face_10",1,1,1,0.102,"REMOVE",0,"Alpha <0.60 in 1 countries, helps 1 (100%)"
"Self_Face_Concern","conflict_face_11",0,1,0,-0.01,"KEEP",1,"Alpha <0.60 in 1 countries, helps 0 (0%)"
"Self_Face_Concern","conflict_face_8",0,1,0,-0.164,"KEEP",1,"Alpha <0.60 in 1 countries, helps 0 (0%)"
"Self_Face_Concern","conflict_face_9",0,1,0,-0.298,"KEEP",1,"Alpha <0.60 in 1 countries, helps 0 (0%)"
"Self_Transcendence","values_12",0,2,0,-0.1415,"KEEP",2,"Alpha <0.60 in 2 countries, helps 0 (0%)"
"Self_Transcendence","values_18",0,2,0,-0.047,"KEEP",2,"Alpha <0.60 in 2 countries, helps 0 (0%)"
"Self_Transcendence","values_19",0,2,0,-0.059,"KEEP",2,"Alpha <0.60 in 2 countries, helps 0 (0%)"
"Self_Transcendence","values_3",0,2,0,-0.012,"KEEP",2,"Alpha <0.60 in 2 countries, helps 0 (0%)"
"Self_Transcendence","values_8",0,2,0,-0.0305,"KEEP",2,"Alpha <0.60 in 2 countries, helps 0 (0%)"
"Stimulation","values_15",0,12,0,-0.166083333333333,"KEEP",12,"Alpha <0.60 in 12 countries, helps 0 (0%)"
"Stimulation","values_6",0,12,0,-0.166083333333333,"KEEP",12,"Alpha <0.60 in 12 countries, helps 0 (0%)"
"Tradition","values_20",0,62,0,-0.12441935483871,"KEEP",62,"Alpha <0.60 in 62 countries, helps 0 (0%)"
"Tradition","values_9",0,62,0,-0.12441935483871,"KEEP",62,"Alpha <0.60 in 62 countries, helps 0 (0%)"
"Universalism","values_19",0,48,0,-0.0556458333333333,"KEEP",48,"Alpha <0.60 in 48 countries, helps 0 (0%)"
"Universalism","values_3",1,48,0.021,-0.152791666666667,"KEEP",47,"Alpha <0.60 in 48 countries, helps 1 (2.1%)"
"Universalism","values_8",0,48,0,-0.102145833333333,"KEEP",48,"Alpha <0.60 in 48 countries, helps 0 (0%)"
"War_Acceptance","violence_4",0,24,0,-0.203666666666667,"KEEP",24,"Alpha <0.60 in 24 countries, helps 0 (0%)"
"War_Acceptance","violence_5",0,24,0,-0.190541666666667,"KEEP",24,"Alpha <0.60 in 24 countries, helps 0 (0%)"
"War_Acceptance","violence_6",7,24,0.292,0.0645833333333333,"KEEP",17,"Alpha <0.60 in 24 countries, helps 7 (29.2%)"
"Withdrawal","insult1_1",0,40,0,-0.24655,"KEEP",40,"Alpha <0.60 in 40 countries, helps 0 (0%)"
"Withdrawal","insult2_1",0,40,0,-0.2225,"KEEP",40,"Alpha <0.60 in 40 countries, helps 0 (0%)"
"Withdrawal","insult3_1",23,40,0.575,0.1024,"REMOVE",17,"Alpha <0.60 in 40 countries, helps 23 (57.5%)"
